,distrito_origen,distrito_destino,hora_inicio,minuto_inicio_aprox,auto/transporte,num_coincidencias,lat_origen,lng_origen,lat_destino,lng_destino
93,Alfredo Baranda,Industrial Vallejo,8,0,transporte,3,19.2799356,-98.9459245,19.4936933,-99.1649891
94,Alfredo Baranda,Instituto Politécnico,6,0,transporte,1,19.2799356,-98.9459245,19.451037,-99.168673
95,Alfredo Baranda,Instituto Politécnico,7,0,transporte,2,19.2799356,-98.9459245,19.451037,-99.168673
96,Alfredo Baranda,Ixtapaluca centro-Acozac,6,30,auto,1,19.2799356,-98.9459245,19.3365236,-98.8886672
97,Alfredo Baranda,Ixtapaluca centro-Acozac,7,0,auto,1,19.2799356,-98.9459245,19.3365236,-98.8886672
98,Alfredo Baranda,Ixtapaluca centro-Acozac,9,30,transporte,1,19.2799356,-98.9459245,19.3365236,-98.8886672
99,Alfredo Baranda,Juan Escutia,6,0,transporte,1,19.2799356,-98.9459245,19.391553899999998,-99.0425977
100,Alfredo Baranda,Juan Escutia,6,30,transporte,2,19.2799356,-98.9459245,19.391553899999998,-99.0425977
101,Alfredo Baranda,Juan Escutia,8,0,transporte,1,19.2799356,-98.9459245,19.391553899999998,-99.0425977
102,Alfredo Baranda,Juan Escutia,9,0,transporte,2,19.2799356,-98.9459245,19.391553899999998,-99.0425977
103,Alfredo Baranda,Juan Escutia,10,0,transporte,1,19.2799356,-98.9459245,19.391553899999998,-99.0425977
104,Alfredo Baranda,Juan Escutia,11,0,transporte,1,19.2799356,-98.9459245,19.391553899999998,-99.0425977
105,Alfredo Baranda,La Perla,7,0,transporte,1,19.2799356,-98.9459245,19.4375342,-99.1373437
106,Alfredo Baranda,La Perla,7,30,transporte,2,19.2799356,-98.9459245,19.4375342,-99.1373437
107,Alfredo Baranda,La Perla,8,0,auto,1,19.2799356,-98.9459245,19.4375342,-99.1373437
108,Alfredo Baranda,La Villa,3,0,auto,2,19.2799356,-98.9459245,19.4838854,-99.1135903
109,Alfredo Baranda,La Villa,5,0,transporte,1,19.2799356,-98.9459245,19.4838854,-99.1135903
110,Alfredo Baranda,Las Águilas,6,30,transporte,2,19.2799356,-98.9459245,19.3614558,-99.2040557
111,Alfredo Baranda,Lomas Estrella,6,0,transporte,3,19.2799356,-98.9459245,19.3165254,-99.09143940000001
112,Alfredo Baranda,Lomas Estrella,7,0,transporte,1,19.2799356,-98.9459245,19.3165254,-99.09143940000001
113,Alfredo Baranda,Mercado Pirules,7,0,transporte,1,19.2799356,-98.9459245,19.545485,-99.2206567
114,Alfredo Baranda,Mercado Pirules,13,0,transporte,1,19.2799356,-98.9459245,19.545485,-99.2206567
115,Alfredo Baranda,Metro La Paz-Los Reyes,9,0,transporte,1,19.2799356,-98.9459245,19.3570341,-98.9859276
116,Alfredo Baranda,Metropolitana,7,0,transporte,1,19.2799356,-98.9459245,19.4183734,-99.1527667
117,Alfredo Baranda,Metropolitana,8,0,auto,2,19.2799356,-98.9459245,19.4183734,-99.1527667
118,Alfredo Baranda,Metropolitana,8,0,transporte,1,19.2799356,-98.9459245,19.4183734,-99.1527667
119,Alfredo Baranda,Metropolitana,11,0,transporte,1,19.2799356,-98.9459245,19.4183734,-99.1527667
120,Alfredo Baranda,Mixquic,4,0,auto,2,19.2799356,-98.9459245,19.2266531,-98.96593990000001
121,Alfredo Baranda,Mixquic,8,0,transporte,1,19.2799356,-98.9459245,19.2266531,-98.96593990000001
122,Alfredo Baranda,Mixquic,14,0,auto,2,19.2799356,-98.9459245,19.2266531,-98.96593990000001
123,Alfredo Baranda,Moctezuma,5,0,transporte,1,19.2799356,-98.9459245,19.4251865,-99.0653158
124,Alfredo Baranda,Moctezuma,21,0,transporte,2,19.2799356,-98.9459245,19.4251865,-99.0653158
125,Alfredo Baranda,Molinos,7,0,transporte,2,19.2799356,-98.9459245,19.372649300000003,-99.19127440000001
126,Alfredo Baranda,Morelos,4,0,transporte,1,19.2799356,-98.9459245,19.446823100000003,-99.1303962
127,Alfredo Baranda,Morelos,7,30,transporte,1,19.2799356,-98.9459245,19.446823100000003,-99.1303962
128,Alfredo Baranda,Morelos,7,45,transporte,1,19.2799356,-98.9459245,19.446823100000003,-99.1303962
129,Alfredo Baranda,Morelos,10,0,transporte,3,19.2799356,-98.9459245,19.446823100000003,-99.1303962
130,Alfredo Baranda,Nueva Industrial Vallejo,7,0,transporte,1,19.2799356,-98.9459245,19.5105328,-99.152534
131,Alfredo Baranda,Obrera,5,0,auto,1,19.2799356,-98.9459245,19.4154641,-99.13864559999999
132,Alfredo Baranda,Obrera,11,15,transporte,1,19.2799356,-98.9459245,19.4154641,-99.13864559999999
133,Alfredo Baranda,Palacio de los Deportes,6,45,transporte,1,19.2799356,-98.9459245,19.4053359,-99.09986459999999
134,Alfredo Baranda,Palacio de los Deportes,8,0,transporte,4,19.2799356,-98.9459245,19.4053359,-99.09986459999999
135,Alfredo Baranda,Parque Cerro de la Estrella,4,15,transporte,1,19.2799356,-98.9459245,19.343926899999996,-99.0914995
136,Alfredo Baranda,Periférico Barrientos-Mundo E,6,15,auto,1,19.2799356,-98.9459245,19.525119,-99.22834399999999
137,Alfredo Baranda,Portales,2,15,auto,2,19.2799356,-98.9459245,19.3692406,-99.1497664
138,Alfredo Baranda,Portales,5,0,transporte,1,19.2799356,-98.9459245,19.3692406,-99.1497664
139,Alfredo Baranda,Portales,6,0,transporte,3,19.2799356,-98.9459245,19.3692406,-99.1497664
140,Alfredo Baranda,Portales,6,30,transporte,1,19.2799356,-98.9459245,19.3692406,-99.1497664
141,Alfredo Baranda,Portales,7,0,transporte,1,19.2799356,-98.9459245,19.3692406,-99.1497664
142,Alfredo Baranda,Portales,7,30,transporte,1,19.2799356,-98.9459245,19.3692406,-99.1497664
143,Alfredo Baranda,Portales,8,0,transporte,2,19.2799356,-98.9459245,19.3692406,-99.1497664
144,Alfredo Baranda,Portales,11,0,transporte,1,19.2799356,-98.9459245,19.3692406,-99.1497664
145,Alfredo Baranda,San Cristóbal Ecatepec,6,0,transporte,2,19.2799356,-98.9459245,19.6057728,-99.0365112
146,Alfredo Baranda,San Lorenzo-Xochitenco,7,0,auto,2,19.2799356,-98.9459245,19.4686896,-99.19726290000001
147,Alfredo Baranda,Santa Catarina,6,0,transporte,1,19.2799356,-98.9459245,19.3080164,-98.96513859999999
148,Alfredo Baranda,Santa Catarina,6,30,auto,1,19.2799356,-98.9459245,19.3080164,-98.96513859999999
149,Alfredo Baranda,Santa Catarina,6,30,transporte,2,19.2799356,-98.9459245,19.3080164,-98.96513859999999
150,Alfredo Baranda,Santa Catarina,18,15,transporte,2,19.2799356,-98.9459245,19.3080164,-98.96513859999999
151,Alfredo Baranda,Santa Cruz Meyehualco,6,0,transporte,1,19.2799356,-98.9459245,19.343280399999998,-99.040741
152,Alfredo Baranda,Santa Maria Xalpa,7,0,transporte,3,19.2799356,-98.9459245,19.3376664,-99.02382829999999
153,Alfredo Baranda,Santa Maria Xalpa,21,0,transporte,2,19.2799356,-98.9459245,19.3376664,-99.02382829999999
154,Alfredo Baranda,Santa Martha Acatitla,6,15,transporte,1,19.2799356,-98.9459245,19.3615578,-99.00874859999999
155,Alfredo Baranda,Santa Martha Acatitla,16,0,transporte,1,19.2799356,-98.9459245,19.3615578,-99.00874859999999
156,Alfredo Baranda,TAD San Juan Ixhuatepec,5,30,transporte,1,19.2799356,-98.9459245,19.527982,-99.1141646
157,Alfredo Baranda,Tepeyac,7,0,transporte,1,19.2799356,-98.9459245,19.4721637,-99.1217293
158,Alfredo Baranda,Texcoco Centro-Chapingo,6,15,auto,1,19.2799356,-98.9459245,19.4895444,-98.89418409999999
159,Alfredo Baranda,Texcoco Centro-Chapingo,7,30,transporte,1,19.2799356,-98.9459245,19.4895444,-98.89418409999999
160,Alfredo Baranda,Tlatelolco,4,30,transporte,2,19.2799356,-98.9459245,19.4523693,-99.1384147
161,Alfredo Baranda,Tlatelolco,8,0,transporte,2,19.2799356,-98.9459245,19.4523693,-99.1384147
162,Alfredo Baranda,Tláhuac,5,30,transporte,1,19.2799356,-98.9459245,19.2990233,-99.04364670000001
163,Alfredo Baranda,Tláhuac,8,30,transporte,1,19.2799356,-98.9459245,19.2990233,-99.04364670000001
164,Alfredo Baranda,Tláhuac,9,0,transporte,1,19.2799356,-98.9459245,19.2990233,-99.04364670000001
165,Alfredo Baranda,UAM Iztapalapa,5,0,auto,2,19.2799356,-98.9459245,19.3623565,-99.07285159999999
166,Alfredo Baranda,UAM Iztapalapa,5,30,auto,1,19.2799356,-98.9459245,19.3623565,-99.07285159999999
167,Alfredo Baranda,UAM Iztapalapa,5,30,transporte,1,19.2799356,-98.9459245,19.3623565,-99.07285159999999
168,Alfredo Baranda,UAM Iztapalapa,9,0,transporte,1,19.2799356,-98.9459245,19.3623565,-99.07285159999999
169,Alfredo Baranda,UPIICSA,6,0,transporte,1,19.2799356,-98.9459245,19.3959887,-99.09190190000001
170,Alfredo Baranda,UPIICSA,7,0,transporte,1,19.2799356,-98.9459245,19.3959887,-99.09190190000001
171,Alfredo Baranda,UPIICSA,8,0,transporte,2,19.2799356,-98.9459245,19.3959887,-99.09190190000001
172,Alfredo Baranda,UPIICSA,14,30,transporte,1,19.2799356,-98.9459245,19.3959887,-99.09190190000001
173,Alfredo Baranda,UPIICSA,17,0,transporte,1,19.2799356,-98.9459245,19.3959887,-99.09190190000001
174,Alfredo Baranda,Valle de Aragón,8,0,transporte,1,19.2799356,-98.9459245,19.4983154,-99.03672490000001
175,Alfredo Baranda,Valle de los Reyes,5,30,transporte,1,19.2799356,-98.9459245,19.3662819,-98.97284300000001
176,Alfredo Baranda,Valle de los Reyes,7,0,auto,1,19.2799356,-98.9459245,19.3662819,-98.97284300000001
177,Alfredo Baranda,Valle de los Reyes,9,0,transporte,1,19.2799356,-98.9459245,19.3662819,-98.97284300000001
178,Alfredo Baranda,Vertiz Narvarte,8,0,transporte,1,19.2799356,-98.9459245,19.3807458,-99.1553016
179,Alfredo Baranda,Villa Olimpica,4,0,auto,1,19.2799356,-98.9459245,19.300075,-99.1870499
180,Alfredo Baranda,Villa Olimpica,5,0,transporte,1,19.2799356,-98.9459245,19.300075,-99.1870499
181,Alfredo Baranda,Villa Olimpica,5,30,auto,1,19.2799356,-98.9459245,19.300075,-99.1870499
182,Alfredo Baranda,Villa Olimpica,17,0,auto,1,19.2799356,-98.9459245,19.300075,-99.1870499
183,Alfredo Baranda,Xico,3,30,auto,2,19.2799356,-98.9459245,19.430647,-99.0592851
184,Alfredo Baranda,Xico,5,0,auto,6,19.2799356,-98.9459245,19.430647,-99.0592851
185,Alfredo Baranda,Xico,5,30,transporte,2,19.2799356,-98.9459245,19.430647,-99.0592851
186,Alfredo Baranda,Xico,6,0,auto,3,19.2799356,-98.9459245,19.430647,-99.0592851
187,Alfredo Baranda,Xico,6,30,transporte,1,19.2799356,-98.9459245,19.430647,-99.0592851
188,Alfredo Baranda,Xico,7,0,transporte,1,19.2799356,-98.9459245,19.430647,-99.0592851
189,Alfredo Baranda,Xico,8,0,auto,1,19.2799356,-98.9459245,19.430647,-99.0592851
190,Alfredo Baranda,Xotepingo,6,0,transporte,2,19.2799356,-98.9459245,19.329186,-99.1407725
191,Alfredo Baranda,Zaragoza,4,0,transporte,2,19.2799356,-98.9459245,19.3952643,-99.0542312
192,Alfredo Baranda,Zaragoza,5,0,transporte,2,19.2799356,-98.9459245,19.3952643,-99.0542312
193,Alfredo Baranda,Zaragoza,7,0,transporte,3,19.2799356,-98.9459245,19.3952643,-99.0542312
194,Alfredo Baranda,Zaragoza,7,30,transporte,4,19.2799356,-98.9459245,19.3952643,-99.0542312
195,Alfredo Baranda,Zaragoza,8,0,transporte,4,19.2799356,-98.9459245,19.3952643,-99.0542312
196,Ayuntamiento de Nezahualcóyotl,Aeropuerto,7,0,auto,1,19.408539,-99.01756309999999,19.4360762,-99.0719083
197,Ayuntamiento de Nezahualcóyotl,Aeropuerto,14,0,transporte,1,19.408539,-99.01756309999999,19.4360762,-99.0719083
198,Ayuntamiento de Nezahualcóyotl,Aeropuerto,15,0,auto,1,19.408539,-99.01756309999999,19.4360762,-99.0719083
199,Ayuntamiento de Nezahualcóyotl,Aeropuerto,16,0,auto,1,19.408539,-99.01756309999999,19.4360762,-99.0719083
200,Ayuntamiento de Nezahualcóyotl,Benito Juárez,6,0,transporte,1,19.408539,-99.01756309999999,19.3794059,-99.1591446
201,Ayuntamiento de Nezahualcóyotl,Benito Juárez,6,45,transporte,1,19.408539,-99.01756309999999,19.3794059,-99.1591446
202,Ayuntamiento de Nezahualcóyotl,Benito Juárez,7,0,auto,2,19.408539,-99.01756309999999,19.3794059,-99.1591446
203,Ayuntamiento de Nezahualcóyotl,Benito Juárez,7,30,auto,3,19.408539,-99.01756309999999,19.3794059,-99.1591446
204,Ayuntamiento de Nezahualcóyotl,Benito Juárez,7,45,auto,1,19.408539,-99.01756309999999,19.3794059,-99.1591446
205,Ayuntamiento de Nezahualcóyotl,Benito Juárez,8,0,auto,3,19.408539,-99.01756309999999,19.3794059,-99.1591446
206,Ayuntamiento de Nezahualcóyotl,Benito Juárez,8,0,transporte,3,19.408539,-99.01756309999999,19.3794059,-99.1591446
207,Ayuntamiento de Nezahualcóyotl,Benito Juárez,9,0,transporte,2,19.408539,-99.01756309999999,19.3794059,-99.1591446
208,Ayuntamiento de Nezahualcóyotl,Benito Juárez,15,0,auto,2,19.408539,-99.01756309999999,19.3794059,-99.1591446
209,Ayuntamiento de Nezahualcóyotl,Bosques de Aragón,6,0,transporte,1,19.408539,-99.01756309999999,19.4641835,-99.0488165
210,Ayuntamiento de Nezahualcóyotl,Bosques de Aragón,7,0,auto,1,19.408539,-99.01756309999999,19.4641835,-99.0488165
211,Ayuntamiento de Nezahualcóyotl,Bosques de Aragón,8,0,auto,1,19.408539,-99.01756309999999,19.4641835,-99.0488165
212,Ayuntamiento de Nezahualcóyotl,Bosques de Aragón,13,30,transporte,1,19.408539,-99.01756309999999,19.4641835,-99.0488165
213,Ayuntamiento de Nezahualcóyotl,Buenavista Iztapalapa,7,0,transporte,2,19.408539,-99.01756309999999,19.325237899999998,-99.0280892
214,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,5,0,transporte,1,19.408539,-99.01756309999999,19.4259383,-99.1937047
215,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,5,45,auto,1,19.408539,-99.01756309999999,19.4259383,-99.1937047
216,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,6,0,transporte,2,19.408539,-99.01756309999999,19.4259383,-99.1937047
217,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,7,0,transporte,1,19.408539,-99.01756309999999,19.4259383,-99.1937047
218,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,7,45,transporte,1,19.408539,-99.01756309999999,19.4259383,-99.1937047
219,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,8,0,auto,1,19.408539,-99.01756309999999,19.4259383,-99.1937047
220,Ayuntamiento de Nezahualcóyotl,Buenavista-Reforma,8,0,transporte,2,19.408539,-99.01756309999999,19.4259383,-99.1937047
